sep=;
ID;Instituto;Turno;DataPub;Amostra;Candidatura;Partido;Percentual;MgErro;Link
1;CADEM;1;2021-08-28;704;Artes;UPa;1.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;Boric;AD;20.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;MEO;PRO;3.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;Provoste;NPS;13.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;Parisi;PDG;7.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;Sichel;ChP;20.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;Kast;FSC;10.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
1;CADEM;1;2021-08-28;704;Nulo;NA;26.00;3.10;https://plazapublica.cl/wp-content/uploads/2021/08/Track-PP-398-Agosto-S4-VF_Baja.pdf
2;CADEM;1;2021-09-04;702;Artes;UPa;0.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;Boric;AD;23.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;MEO;PRO;2.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;Provoste;NPS;12.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;Parisi;PDG;7.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;Sichel;ChP;19.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;Kast;FSC;12.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
2;CADEM;1;2021-09-04;702;Nulo;NA;25.00;3.70;https://plazapublica.cl/wp-content/uploads/2021/09/Track-PP-399-Septiembre.pdf
3;CADEM;1;2021-09-11;705;Artes;UPa;0.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;Boric;AD;22.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;MEO;PRO;3.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;Provoste;NPS;10.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;Parisi;PDG;8.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;Sichel;ChP;19.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;Kast;FSC;9.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
3;CADEM;1;2021-09-11;705;Nulo;NA;29.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-400-Confianza-en-la-Convencion-Constituyente-cae-a-43-6pts-su-nivel-mas-bajo-desde-que-comenzara-su-funcionamiento.pdf
4;CADEM;1;2021-09-17;709;Artes;UPa;1.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;Boric;AD;25.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;MEO;PRO;5.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;Provoste;NPS;9.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;Parisi;PDG;6.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;Sichel;ChP;17.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;Kast;FSC;10.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
4;CADEM;1;2021-09-17;709;Nulo;NA;27.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-401-Gabriel-Boric-25-3pts-toma-distancia-en-la-carrera-presidencial-y-le-saca-8-puntos-a-Sebastian-Sichel-17-2pts.pdf
5;CADEM;1;2021-09-25;703;Artes;UPa;2.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;Boric;AD;23.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;MEO;PRO;4.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;Provoste;NPS;10.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;Parisi;PDG;5.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;Sichel;ChP;17.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;Kast;FSC;13.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
5;CADEM;1;2021-09-25;703;Nulo;NA;26.00;3.70;https://cadem.cl/wp-content/uploads/2021/09/Plaza-Publica-402-Kast-se-alza-como-ganador-del-debate-y-alcanza-el-13-en-intencion-de-voto-quedando-a-solo-4-puntos-de-Sichel-17.pdf
6;CADEM;1;2021-10-02;705;Artes;UPa;1.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;Boric;AD;22.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;MEO;PRO;5.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;Provoste;NPS;12.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;Parisi;PDG;5.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;Sichel;ChP;12.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;Kast;FSC;15.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
6;CADEM;1;2021-10-02;705;Nulo;NA;28.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-403-Octubre-S1.pdf
7;CADEM;1;2021-10-09;704;Artes;UPa;1.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-404-Octubre-S2-VF.pdf
7;CADEM;1;2021-10-09;704;Boric;AD;21.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-404-Octubre-S2-VF.pdf
7;CADEM;1;2021-10-09;704;MEO;PRO;4.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-404-Octubre-S2-VF.pdf
7;CADEM;1;2021-10-09;704;Provoste;NPS;13.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-404-Octubre-S2-VF.pdf
7;CADEM;1;2021-10-09;704;Parisi;PDG;6.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-404-Octubre-S2-VF.pdf
7;CADEM;1;2021-10-09;704;Sichel;ChP;10.00;3.70;https://cadem.cl/wp-content/uploads/2021/10/Track-PP-404-Octubre-S2-VF.pdf
